,Variablenname,Variable name,Variable,variable,Beschreibung,description
205,KR_ITS_MELDEB,KR_INF_W_A99,Meldebereiche mit ITS-Kapazitäten,Conﬁrmed female corona cases - age unknown,Meldende Standorte von Krankenhäuser mit intensivmedizinischet Versorgung (der letzten 7 Tage),Conﬁrmed female corona cases with age unknown (according to reporting date)
206,KR_ITS_BETT_B,KR_INF_MD_KUM,Belegte ITS-Betten,Conﬁrmed corona cases cumulative,Anzahl belegte Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases cumulative (according to reporting date)
207,KR_ITS_BETT_F,KR_INF_AKTIV,Freie ITS-Betten,Active corona cases,Anzahl freie Intensivbetten (der letzten 7 Tage),Conﬁrmed corona cases accumulated less corona deaths accumulated minus corona recoveries accumulated
208,KR_ITS_BETT,,ITS-Betten,,Anzahl Intensivbetten insgesamt (der letzten 7 Tage),"(according to
reporting date)"
209,KR_ITS_BETT_EW,KR_INZ,ITS-Betten pro 100.000 Einwohner,7-day case number,Anzahl Intensivbetten pro 100.000 Einwohner (der letzten 7 Tage),Conﬁrmed corona cases of the last 7 days (according to reporting date)
210,KR_ITS_INF,KR_INZ_RATE,COVID-19-Patienten auf ITS,7 day incidence,Anzahl COVID-19-Patienten in intensivmedizinischer Behandlung (der letzten 7 Tage),"Conﬁrmed corona cases in the last 7 days per 100,000 inhabitants (according to reporting date)"
211,KR_ITS_INF_B,KR_BETR_RATE,Anzahl COVID-19-Patienten in Beatmung,Affected Rate,Anzahl COVID-19-Patienten invasis beatmet (der letzten 7 Tage),"Share of cumulative corona cases in residents (according to
Meldedtum)"
212,KR_ITS_INF_B_ANT,KR_NEUINF_RATE,Anteil COVID-19-Patienten in Beatmung,New infection rate,Anteil COVID-19-Patienten in Beatmung an allen aktuell intensivmedizinisch behandelten COVID-19-Patienten (der letzten 7 Tage),Percentage of new corona infections in cumulative corona cases (according to reporting date)
213,KR_TOD_MD,KR_ITS_KH,Corona-Todesfälle,Hospitals with ITS capacities,Corona-Todesfälle (nach Meldedatum),"Reporting hospitals with intensive medical care (of
the last 7 days)"
214,KR_TOD_A0004,KR_ITS_MELDEB,Corona-Todesfälle - bis 4 Jahre,Reporting areas with ITS capacities,Corona-Todesfälle mit Alter bis 4 Jahre (nach Meldedatum),Reporting locations of hospitals with intensive medical care (of the last 7 days)
215,KR_TOD_A0514,KR_ITS_BETT_B,Corona-Todesfälle - 5 bis 14 Jahre,Occupied ITS beds,Corona-Todesfälle mit Alter 5 bis 14 Jahre (nach Meldedatum),"Number of occupied intensive care beds (of the
last 7 days)"
216,KR_TOD_A1534,KR_ITS_BETT_F,Corona-Todesfälle - 15 bis 34 Jahre,Free ITS beds,Corona-Todesfälle mit Alter 15 bis 34 Jahre (nach Meldedatum),Number of free intensive care beds (of the last 7 days)
217,KR_TOD_A3559,KR_ITS_BETT,Corona-Todesfälle - 35 bis 59 Jahre,ITS beds,Corona-Todesfälle mit Alter 35 bis 59 Jahre (nach Meldedatum),Total number of intensive care beds (of the last 7 days)
218,KR_TOD_A6079,KR_ITS_BETT_EW,Corona-Todesfälle - 60 bis 79 Jahre,"ITS beds per 100,000
inhabitants",Corona-Todesfälle mit Alter 60 bis 79 Jahre (nach Meldedatum),"Number of intensive care beds per 100,000 inhabitants (of the
last 7 days)"
219,KR_TOD_A80,KR_ITS_INF,Corona-Todesfälle - 80 Jahre oder älter,"COVID-19
patients on ITS",Corona-Todesfälle mit Alter 80 Jahre oder älter (nach Meldedatum),"Number of
COVID-19 patients in intensive care treatment (in the last 7 days)"
220,KR_TOD_A99,KR_ITS_INF_B,Corona-Todesfälle - Alter unbekannt,"Number of COVID-19
patients on
ventilation",Corona-Todesfälle mit Alter unbekannt (nach Meldedatum),"Number of
COVID-19 patients ventilated invasis (in the last 7 days)"
221,KR_TOD_M,KR_ITS_INF_B_ANT,Männliche Corona-Todesfälle,"Proportion of COVID-19
patients in ventilation",Männliche Corona-Todesfälle (nach Meldedatum),Proportion of COVID-19 patients in ventilation of all COVID-19 patients currently treated in intensive care (in the last 7 days)
222,KR_TOD_W,KR_TOD_MD,Weibliche Corona-Todesfälle,Corona deaths,Weibliche Corona-Todesfälle (nach Meldedatum),Corona deaths (by reporting date)
223,KR_TOD_U,KR_TOD_A0004,Corona-Todesfälle mit Geschlecht unbekannt,Corona deaths - up to 4 years,Corona-Todesfälle mit Geschlecht unbekannt (nach Meldedatum),Corona deaths up to 4 years of age (according to reporting date)
224,KR_TOD_MD_KUM,KR_TOD_A0514,Corona-Todesfälle kumuliert,Corona deaths - 5 to 14 years old,Corona-Todesfälle kumuliert (nach Meldedatum),Corona deaths aged 5 to 14 years (according to reporting date)
225,KR_TOD_RATE,KR_TOD_A1534,Sterberate,Corona deaths - 15 to 34 years old,Anteil Corona-Todesfälle kumuliert an bestätigten Corona-Fällen kumuliert (nach Meldedatum),Corona deaths aged 15 to 34 years (according to reporting date)
226,KR_INZ_RATE,KR_TOD_A3559,7-Tage-Inzidenz,Corona deaths - 35 to 59 years old,Bestätigte Corona-Fälle der letzten 7 Tage pro 100.000 Einwohner (nach Meldedatum),Corona deaths aged 35 to 59 years (according to reporting date)
227,KR_TREND,KR_TOD_A6079,Trend der Inzidenzkurven,Corona deaths - 60 to 79 years old,Steigung einer linearen Regression der 7-Tage-Inzidenzen der vergangenen 7 Tage (in Grad normiert),Corona deaths aged 60 to 79 years (according to reporting date)
228,KR_TREND_KL,KR_TOD_A80,Trend der Inzidenzkurven klassiert,Corona deaths -,Steigung einer linearen Regression der 7-Tage-Inzidenzen der vergangenen 7 Tage (in Klassen),Corona deaths aged
229,KR_VERF_ALLTECH_2MBIT_1,,Private Breitbandverfügbarkeit 2 Mbit/s - 10% der Haushalte,80 years of age or older,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)","80 or older (according to
reporting date)"
230,KR_VERF_ALLTECH_2MBIT_2,KR_TOD_A99,Private Breitbandverfügbarkeit 2 Mbit/s - 11 - 50% der Haushalte,Corona deaths - age unknown,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)","Corona deaths with age unknown (according to
reporting date)"
231,KR_VERF_ALLTECH_2MBIT_3,KR_TOD_M,Private Breitbandverfügbarkeit 2 Mbit/s - 51-75% der Haushalte,Male corona deaths,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Male corona deaths (by reporting date)
232,KR_VERF_ALLTECH_2MBIT_4,KR_TOD_W,Private Breitbandverfügbarkeit 2 Mbit/s - 76-95% der Haushalte,Female corona deaths,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)",Female corona deaths (by reporting date)
233,KR_VERF_ALLTECH_2MBIT_5,KR_TOD_U,Private Breitbandverfügbarkeit 2 Mbit/s - 96-100% der Haushalte,Corona deaths with gender unknown,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 2 Mbit/s haben (bezogen auf alle Techniken)","Corona deaths with gender unknown (according to
reporting date)"
234,KR_VERF_ALLTECH_2MBIT_99,KR_TOD_MD_KUM,Private Breitbandverfügbarkeit 2 Mbit/s - keine Angabe,Cumulative corona deaths,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Cumulative corona deaths (according to reporting date)
235,KR_VERF_ALLTECH_6MBIT_1,KR_TOD_RATE,Private Breitbandverfügbarkeit 6 Mbit/s - 10% der Haushalte,Death rate,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Percentage of corona deaths accumulated in conﬁrmed corona cases accumulated (according to reporting date)
236,KR_VERF_ALLTECH_6MBIT_2,KR_INZ_RATE,Private Breitbandverfügbarkeit 6 Mbit/s - 11 - 50% der Haushalte,7 day incidence,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)","Conﬁrmed corona cases in the last 7 days per 100,000 inhabitants (according to reporting date)"
237,KR_VERF_ALLTECH_6MBIT_3,KR_TREND,Private Breitbandverfügbarkeit 6 Mbit/s - 51-75% der Haushalte,Trend of the incidence curves,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)","Slope of a linear regression of the 7- day incidences of the past 7 days (normalized in
degrees)"
238,KR_VERF_ALLTECH_6MBIT_4,KR_TREND_KL,Private Breitbandverfügbarkeit 6 Mbit/s - 76-95% der Haushalte,Trend of the incidence curves classiﬁed,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Slope of a linear regression of the 7- day incidences of the past 7 days (in classes)
239,KR_VERF_ALLTECH_6MBIT_5,KR_VERF_ALLTECH_2MBIT_1,Private Breitbandverfügbarkeit 6 Mbit/s - 96-100% der Haushalte,"Private broadband availability 2 Mbit
/ s - 10% of households","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 6 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 2 Mbit / s (based on all technologies)
240,KR_VERF_ALLTECH_6MBIT_99,KR_VERF_ALLTECH_2MBIT_2,Private Breitbandverfügbarkeit 6 Mbit/s - keine Angabe,"Private broadband availability 2 Mbit
/ s - 11 - 50% of households","Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
241,KR_VERF_ALLTECH_16MBIT_1,KR_VERF_ALLTECH_2MBIT_3,Private Breitbandverfügbarkeit 16 Mbit/s - 10% der Haushalte,"Private broadband availability 2 Mbit
/ s - 51-75% of households","Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
242,KR_VERF_ALLTECH_16MBIT_2,KR_VERF_ALLTECH_2MBIT_4,Private Breitbandverfügbarkeit 16 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 2 Mbit,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 76% - 95% of
243,KR_VERF_ALLTECH_16MBIT_3,,Private Breitbandverfügbarkeit 16 Mbit/s - 51-75% der Haushalte,/ s - 76-95% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
244,KR_VERF_ALLTECH_16MBIT_4,KR_VERF_ALLTECH_2MBIT_5,Private Breitbandverfügbarkeit 16 Mbit/s - 76-95% der Haushalte,"Private broadband availability 2 Mbit
/ s - 96-100% of households","Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 2 Mbit / s (based on
all technologies)"
245,KR_VERF_ALLTECH_16MBIT_5,KR_VERF_ALLTECH_2MBIT_99,Private Breitbandverfügbarkeit 16 Mbit/s - 96-100% der Haushalte,"Private broadband availability 2 Mbit
/ s - no information","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 16 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
246,KR_VERF_ALLTECH_16MBIT_99,KR_VERF_ALLTECH_6MBIT_1,Private Breitbandverfügbarkeit 16 Mbit/s - keine Angabe,"Private broadband availability 6 Mbit
/ s - 10% of households","Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 6 Mbit / s (based on all technologies)
247,KR_VERF_ALLTECH_30MBIT_1,KR_VERF_ALLTECH_6MBIT_2,Private Breitbandverfügbarkeit 30 Mbit/s - 10% der Haushalte,"Private broadband availability 6 Mbit
/ s - 11 - 50% of households","Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
248,KR_VERF_ALLTECH_30MBIT_2,KR_VERF_ALLTECH_6MBIT_3,Private Breitbandverfügbarkeit 30 Mbit/s - 11 - 50% der Haushalte,"Private broadband availability 6 Mbit
/ s - 51-75% of households","Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 51% -75 of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
249,KR_VERF_ALLTECH_30MBIT_3,KR_VERF_ALLTECH_6MBIT_4,Private Breitbandverfügbarkeit 30 Mbit/s - 51-75% der Haushalte,"Private broadband availability 6 Mbit
/ s - 76-95% of households","Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
250,KR_VERF_ALLTECH_30MBIT_4,KR_VERF_ALLTECH_6MBIT_5,Private Breitbandverfügbarkeit 30 Mbit/s - 76-95% der Haushalte,"Private broadband availability 6 Mbit
/ s - 96-100% of households","Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 6 Mbit / s (based on
all technologies)"
251,KR_VERF_ALLTECH_30MBIT_5,KR_VERF_ALLTECH_6MBIT_99,Private Breitbandverfügbarkeit 30 Mbit/s - 96-100% der Haushalte,"Private broadband availability 6 Mbit
/ s - no information","Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 30 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses for which no information on household coverage is available (based on
all technologies)"
252,KR_VERF_ALLTECH_30MBIT_99,KR_VERF_ALLTECH_16MBIT_1,Private Breitbandverfügbarkeit 30 Mbit/s - keine Angabe,Private broadband availability 16 Mbit / s - 10% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses at which 10% of households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
253,KR_VERF_ALLTECH_50MBIT_1,KR_VERF_ALLTECH_16MBIT_2,Private Breitbandverfügbarkeit 50 Mbit/s - 10% der Haushalte,Private broadband availability 16 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
254,KR_VERF_ALLTECH_50MBIT_2,KR_VERF_ALLTECH_16MBIT_3,Private Breitbandverfügbarkeit 50 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 16 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have"
255,KR_VERF_ALLTECH_50MBIT_3,,Private Breitbandverfügbarkeit 50 Mbit/s - 51-75% der Haushalte,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","private broadband availability of> = 16 Mbit / s (based
on all technologies)"
256,KR_VERF_ALLTECH_50MBIT_4,KR_VERF_ALLTECH_16MBIT_4,Private Breitbandverfügbarkeit 50 Mbit/s - 76-95% der Haushalte,Private broadband availability 16 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
257,KR_VERF_ALLTECH_50MBIT_5,KR_VERF_ALLTECH_16MBIT_5,Private Breitbandverfügbarkeit 50 Mbit/s - 96-100% der Haushalte,Private broadband availability 16 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
258,KR_VERF_ALLTECH_50MBIT_99,KR_VERF_ALLTECH_16MBIT_99,Private Breitbandverfügbarkeit 50 Mbit/s - keine Angabe,Private broadband availability 16 Mbit / s - no information,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
259,KR_VERF_ALLTECH_100MBIT_1,KR_VERF_ALLTECH_30MBIT_1,Private Breitbandverfügbarkeit 100 Mbit/s - 10% der Haushalte,Private broadband availability 30 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 30 Mbit / s (based on all technologies)
260,KR_VERF_ALLTECH_100MBIT_2,KR_VERF_ALLTECH_30MBIT_2,Private Breitbandverfügbarkeit 100 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 30 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 11% -50% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
261,KR_VERF_ALLTECH_100MBIT_3,KR_VERF_ALLTECH_30MBIT_3,Private Breitbandverfügbarkeit 100 Mbit/s - 51-75% der Haushalte,Private broadband availability 30 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
262,KR_VERF_ALLTECH_100MBIT_4,KR_VERF_ALLTECH_30MBIT_4,Private Breitbandverfügbarkeit 100 Mbit/s - 76-95% der Haushalte,Private broadband availability 30 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 76% - 95% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
263,KR_VERF_ALLTECH_100MBIT_5,KR_VERF_ALLTECH_30MBIT_5,Private Breitbandverfügbarkeit 100 Mbit/s - 96-100% der Haushalte,Private broadband availability 30 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
264,KR_VERF_ALLTECH_100MBIT_99,KR_VERF_ALLTECH_30MBIT_99,Private Breitbandverfügbarkeit 100 Mbit/s - keine Angabe,Private broadband availability 30 Mbit / s - no information,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
265,KR_VERF_ALLTECH_200MBIT_1,KR_VERF_ALLTECH_50MBIT_1,Private Breitbandverfügbarkeit 200 Mbit/s - 10% der Haushalte,Private broadband availability 50 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 50 Mbit / s (based on all technologies)
266,KR_VERF_ALLTECH_200MBIT_2,KR_VERF_ALLTECH_50MBIT_2,Private Breitbandverfügbarkeit 200 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 50 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband"
267,KR_VERF_ALLTECH_200MBIT_3,,Private Breitbandverfügbarkeit 200 Mbit/s - 51-75% der Haushalte,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","availability of> = 50 Mbit / s (based
on all technologies)"
268,KR_VERF_ALLTECH_200MBIT_4,KR_VERF_ALLTECH_50MBIT_3,Private Breitbandverfügbarkeit 200 Mbit/s - 76-95% der Haushalte,Private broadband availability 50 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
269,KR_VERF_ALLTECH_200MBIT_5,KR_VERF_ALLTECH_50MBIT_4,Private Breitbandverfügbarkeit 200 Mbit/s - 96-100% der Haushalte,Private broadband availability 50 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 76% - 95% of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
270,KR_VERF_ALLTECH_200MBIT_99,KR_VERF_ALLTECH_50MBIT_5,Private Breitbandverfügbarkeit 200 Mbit/s - keine Angabe,Private broadband availability 50 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
271,KR_VERF_ALLTECH_400MBIT_1,KR_VERF_ALLTECH_50MBIT_99,Private Breitbandverfügbarkeit 400 Mbit/s - 10% der Haushalte,Private broadband availability 50 Mbit / s - no information,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses for which no information on household coverage is available (based on
all technologies)"
272,KR_VERF_ALLTECH_400MBIT_2,KR_VERF_ALLTECH_100MBIT_1,Private Breitbandverfügbarkeit 400 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 100 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 10% of households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
273,KR_VERF_ALLTECH_400MBIT_3,KR_VERF_ALLTECH_100MBIT_2,Private Breitbandverfügbarkeit 400 Mbit/s - 51-75% der Haushalte,Private broadband availability 100 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
274,KR_VERF_ALLTECH_400MBIT_4,KR_VERF_ALLTECH_100MBIT_3,Private Breitbandverfügbarkeit 400 Mbit/s - 76-95% der Haushalte,Private broadband availability 100 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
275,KR_VERF_ALLTECH_400MBIT_5,KR_VERF_ALLTECH_100MBIT_4,Private Breitbandverfügbarkeit 400 Mbit/s - 96-100% der Haushalte,Private broadband availability 100 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
276,KR_VERF_ALLTECH_400MBIT_99,KR_VERF_ALLTECH_100MBIT_5,Private Breitbandverfügbarkeit 400 Mbit/s - keine Angabe,Private broadband availability 100 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
277,KR_VERF_ALLTECH_1000MBIT_1,KR_VERF_ALLTECH_100MBIT_99,Private Breitbandverfügbarkeit 1000 Mbit/s - 10% der Haushalte,Private broadband availability 100 Mbit / s - no information,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
278,KR_VERF_ALLTECH_1000MBIT_2,KR_VERF_ALLTECH_200MBIT_1,Private Breitbandverfügbarkeit 1000 Mbit/s - 11 - 50% der Haushalte,Private broadband availability 200 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> =
279,KR_VERF_ALLTECH_1000MBIT_3,,Private Breitbandverfügbarkeit 1000 Mbit/s - 51-75% der Haushalte,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","200 Mbit / s (based
on all technologies)"
280,KR_VERF_ALLTECH_1000MBIT_4,KR_VERF_ALLTECH_200MBIT_2,Private Breitbandverfügbarkeit 1000 Mbit/s - 76-95% der Haushalte,Private broadband availability 200 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
281,KR_VERF_ALLTECH_1000MBIT_5,KR_VERF_ALLTECH_200MBIT_3,Private Breitbandverfügbarkeit 1000 Mbit/s - 96-100% der Haushalte,Private broadband availability 200 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 51% -75 of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
282,KR_VERF_ALLTECH_1000MBIT_99,KR_VERF_ALLTECH_200MBIT_4,Private Breitbandverfügbarkeit 1000 Mbit/s - keine Angabe,Private broadband availability 200 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
